rollNo,password,fullName,program,department,semester,section,email
40230,adsadsa,AnandSwaroop,B.Tech,CSE,1,A,anandswaroop@gmail.com
40231,adsadsa,AnandSwaroop,B.CA,CS,4,D,anandswaroop@gmail.com
40232,adsadsa,AnandSwaroop,B.Tech,CSE,1,B,anandswaroop@gmail.com
40233,adsadsa,AnandSwaroop,B.Tech,CSE,2,B,anandswaroop@gmail.com
40234,adsadsa,AnandSwaroop,B.Tech,CSE,4,D,anandswaroop@gmail.com
40235,adsadsa,AnandSwaroop,B.Tech,CSE,2,A,anandswaroop@gmail.com
40236,adsadsa,AnandSwaroop,B.Tech,CSE,1,A,anandswaroop@gmail.com
40237,adsadsa,AnandSwaroop,B.Sc,Humanities,4,C,anandswaroop@gmail.com
40239,adsadsa,AnandSwaroop,B.Sc,Humanities,4,D,anandswaroop@gmail.com
40238,adsadsa,AnandSwaroop,B.Tech,CSE,1,A,anandswaroop@gmail.com
